Energy (keV),Fluence (normalized)
0.0,0.0
0.5,0.0
1.0,0.0
1.5,3.115429594336349e-29
2.0,1.5129288668165405e-92
2.5,1.5465218993518555e-52
3.0,1.596338247100339e-31
3.5,1.8366254900451263e-19
4.0,5.05332764853282e-12
4.5,3.37368525500888e-07
5.0,0.0006327906121969354
5.5,0.12691183312948448
6.0,5.996729895942886
6.5,106.98601308701846
7.0,1637.0442928646783
7.5,6214.221356379288
8.0,265630.72442416166
8.5,316780.5516232684
9.0,166521.0765965491
9.5,2633868.9694473664
10.0,2804002.7727950853
10.5,560276.822976242
11.0,1288937.461197423
11.5,1597288.503884728
12.0,1131536.3489910548
12.5,1191752.2519529308
13.0,1465922.4677373802
13.5,1819297.9394129836
14.0,2196556.5048628813
14.5,2590840.919752979
15.0,2994752.3559672083
15.5,3401272.937244223
16.0,3804206.526104351
16.5,4198024.947227889
17.0,4578183.181362349
17.5,4940719.903025628
18.0,5282569.526077966
18.5,5602010.973844905
19.0,5897894.118947137
19.5,6169286.297420605
20.0,6415367.5579085685
20.5,6635863.142940995
21.0,6831690.843996864
21.5,7004060.22832659
22.0,7153136.613361872
22.5,7279313.291265133
23.0,7384586.514808727
23.5,7470701.004421092
24.0,7538843.580617159
24.5,7590238.871230554
25.0,7625559.400232618
25.5,7645646.5127652725
26.0,7652106.965360282
26.5,7646524.715989545
27.0,7629890.311094856
27.5,7601985.393441444
28.0,7563559.384381554
28.5,7516725.011590858
29.0,7462597.786421414
29.5,7401902.005890753
30.0,7334797.500335446
30.5,7261433.684274964
31.0,7183156.541976955
31.5,7101024.643194319
32.0,7015464.489558932
32.5,6927028.914475587
33.0,6836035.022372436
33.5,6742855.423664368
34.0,6647900.424320601
34.5,6551452.724093262
35.0,6453326.749100031
35.5,6353308.343608742
36.0,6252263.830529961
36.5,6150922.583601747
37.0,6049410.624985071
37.5,5947948.818511783
38.0,5846603.688159773
38.5,5745523.89680191
39.0,5644885.365941277
39.5,5544713.75697159
40.0,5444864.388243967
40.5,5345211.118895584
41.0,5246057.954883876
41.5,5147773.41692169
42.0,5050454.625193208
42.5,4954079.07803006
43.0,4858733.504277894
43.5,4764420.628817134
44.0,4671153.85472261
44.5,4578971.455124822
45.0,4487640.64255868
45.5,4397103.336580083
46.0,4307505.851061489
46.5,4219041.413082163
47.0,4131785.557859252
47.5,4045580.431327723
48.0,3960555.732513619
48.5,3876670.331450155
49.0,3793759.6276644953
49.5,3711974.7838273947
50.0,3631163.8226700956
50.5,3551189.973643497
51.0,3472226.8108599978
51.5,3394335.0847977144
52.0,3317484.239345081
52.5,3241709.5197499907
53.0,3166899.851224037
53.5,3093003.6186132715
54.0,3020112.8204964567
54.5,2948118.2813929836
55.0,2876980.8656070814
55.5,2806635.362938618
56.0,2737141.506303232
56.5,2668557.8659697473
57.0,2600699.878258289
57.5,3501212.9549568836
58.0,3434995.6894491734
58.5,2401937.076254143
59.0,4048046.8884425904
59.5,3983973.7033087416
60.0,2209700.664936156
60.5,2146958.7068651337
61.0,2084792.5413960165
61.5,2023242.132619292
62.0,1962289.840624295
62.5,1901878.711592059
63.0,1841994.1987338462
63.5,1782613.6505623045
64.0,1723706.7537727496
64.5,1665235.134395542
65.0,1607146.098839714
65.5,1549411.5045447282
66.0,1492031.4709126514
66.5,1635964.743200211
67.0,1968860.066341183
67.5,1721154.7648837378
68.0,1274606.518519576
68.5,1212628.6521745995
69.0,1300587.658969309
69.5,1238840.4172032333
70.0,1017046.1439992326
70.5,947521.7484782207
71.0,900683.3302747502
71.5,853741.9280112365
72.0,806636.3386093011
72.5,759445.0832086076
73.0,712016.5895196547
73.5,663471.0914884233
74.0,612365.8581528311
74.5,579114.146833139
75.0,545802.3408850752
75.5,512389.15512464865
76.0,478801.30418256845
76.5,445095.35436262883
77.0,411191.8494064918
77.5,377091.4218249503
78.0,342831.8422626939
78.5,308403.2933555832
79.0,273781.852012846
79.5,237377.63212837555
80.0,197252.36792030148
80.5,183824.58975596013
81.0,170348.99250787887
81.5,156843.42169533
82.0,143285.12609412012
82.5,129660.60505484593
83.0,115983.06262478472
83.5,102239.41653899734
84.0,88427.01739136553
84.5,74575.95721031532
85.0,60646.6289673544
85.5,45673.54991733552
86.0,28746.191354785078
86.5,26453.98565564623
87.0,24158.996833537236
87.5,21858.125378698198
88.0,19551.291656784633
88.5,17236.810575300606
89.0,14914.15081291533
89.5,12584.800010167704
90.0,10252.25456214766
90.5,7908.062928446175
91.0,5541.331842549066
91.5,2960.9207526484674
92.0,0.0
92.5,0.0
93.0,0.0
93.5,0.0
94.0,0.0
94.5,0.0
95.0,0.0
95.5,0.0
96.0,0.0
96.5,0.0
97.0,0.0
97.5,0.0
98.0,0.0
98.5,0.0
99.0,0.0
99.5,0.0
100.0,0.0
100.5,0.0
