nuclide	particle	bin_energy_keV	bin_energy_MeV	dn_dE_per_decay_per_keV	dn_dE_per_decay_per_MeV	unc_dn_dE_per_decay_per_keV	nu_dn_dE_per_decay_per_keV	nu_unc_dn_dE_per_decay_per_keV	parent_energy_keV	daughter	source
F-18	beta+	0	0	0	0	0	0	0	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	2	0.002	3.20966e-05	0.0320966	0.0000000605862	1.97315e-07	0.000000000512338	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	4	0.004	0.000111823	0.111823	0.000000210402	7.86072e-07	0.00000000203884	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	6	0.006	0.000198696	0.198696	0.000000372649	1.7615e-06	0.00000000456379	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	8	0.008	0.000283603	0.283603	0.000000530151	3.11885e-06	0.00000000807151	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	10	0.01	0.000364639	0.364639	0.000000679385	4.85339e-06	0.0000000125464	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	12	0.012	0.000441578	0.441578	0.000000819992	6.96039e-06	0.000000017973	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	14	0.014	0.000514639	0.514639	0.000000952447	9.43515e-06	0.0000000243357	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	16	0.016	0.000584149	0.584149	0.00000107741	1.2273e-05	0.0000000316191	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	18	0.018	0.000650436	0.650436	0.00000119556	1.54692e-05	0.0000000398079	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	20	0.02	0.0007138	0.7138	0.00000130747	1.90192e-05	0.0000000488869	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	22	0.022	0.000774506	0.774506	0.0000014137	2.29183e-05	0.0000000588406	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	24	0.024	0.000832786	0.832786	0.0000015147	2.71619e-05	0.0000000696541	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	26	0.026	0.000888839	0.888839	0.00000161088	3.17453e-05	0.0000000813121	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	28	0.028	0.00094284	0.94284	0.00000170258	3.66641e-05	0.0000000937997	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	30	0.03	0.000994941	0.994941	0.00000179011	4.19135e-05	0.000000107102	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	32	0.032	0.00104527	1.04527	0.00000187374	4.74892e-05	0.000000121203	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	34	0.034	0.00109396	1.09396	0.00000195371	5.33864e-05	0.00000013609	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	36	0.036	0.0011411	1.1411	0.00000203023	5.96008e-05	0.000000151746	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	38	0.038	0.00118679	1.18679	0.00000210349	6.61277e-05	0.000000168157	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	40	0.04	0.0012311	1.2311	0.00000217365	7.29627e-05	0.000000185309	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	42	0.042	0.00127412	1.27412	0.00000224087	8.01014e-05	0.000000203187	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	44	0.044	0.00131591	1.31591	0.00000230529	8.75392e-05	0.000000221776	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	46	0.046	0.00135653	1.35653	0.00000236702	9.52717e-05	0.000000241062	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	48	0.048	0.00139604	1.39604	0.00000242619	0.000103295	0.00000026103	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	50	0.05	0.00143448	1.43448	0.00000248288	0.000111603	0.000000281666	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	52	0.052	0.00147189	1.47189	0.00000253721	0.000120193	0.000000302955	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	54	0.054	0.00150833	1.50833	0.00000258925	0.000129061	0.000000324884	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	56	0.056	0.00154383	1.54383	0.00000263908	0.000138201	0.000000347438	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	58	0.058	0.00157842	1.57842	0.00000268679	0.000147609	0.000000370603	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	60	0.06	0.00161214	1.61214	0.00000273243	0.000157282	0.000000394365	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	62	0.062	0.00164501	1.64501	0.00000277606	0.000167214	0.00000041871	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	64	0.064	0.00167707	1.67707	0.00000281776	0.000177402	0.000000443623	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	66	0.066	0.00170834	1.70834	0.00000285757	0.000187841	0.000000469092	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	68	0.068	0.00173884	1.73884	0.00000289555	0.000198526	0.000000495101	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	70	0.07	0.00176859	1.76859	0.00000293175	0.000209455	0.000000521638	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	72	0.072	0.00179762	1.79762	0.0000029662	0.000220622	0.000000548688	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	74	0.074	0.00182595	1.82595	0.00000299895	0.000232023	0.000000576238	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	76	0.076	0.00185359	1.85359	0.00000303005	0.000243654	0.000000604275	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	78	0.078	0.00188057	1.88057	0.00000305953	0.000255511	0.000000632784	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	80	0.08	0.00190689	1.90689	0.00000308743	0.000267589	0.000000661752	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	82	0.082	0.00193257	1.93257	0.00000311378	0.000279885	0.000000691167	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	84	0.084	0.00195763	1.95763	0.00000313862	0.000292395	0.000000721013	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	86	0.086	0.00198209	1.98209	0.00000316196	0.000305113	0.000000751279	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	88	0.088	0.00200594	2.00594	0.00000318386	0.000318037	0.00000078195	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	90	0.09	0.00202922	2.02922	0.00000320433	0.000331162	0.000000813014	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	92	0.092	0.00205191	2.05191	0.00000322339	0.000344484	0.000000844458	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	94	0.094	0.00207405	2.07405	0.00000324109	0.000357999	0.000000876267	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	96	0.096	0.00209564	2.09564	0.00000325743	0.000371702	0.00000090843	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	98	0.098	0.00211669	2.11669	0.00000327245	0.000385591	0.000000940934	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	100	0.1	0.0021372	2.1372	0.00000328616	0.00039966	0.000000973765	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	102	0.102	0.00215719	2.15719	0.00000329859	0.000413906	0.00000100691	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	104	0.104	0.00217667	2.17667	0.00000330976	0.000428325	0.00000104036	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	106	0.106	0.00219564	2.19564	0.00000331969	0.000442913	0.00000107409	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	108	0.108	0.00221411	2.21411	0.0000033284	0.000457666	0.00000110811	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	110	0.11	0.0022321	2.2321	0.00000333591	0.00047258	0.00000114238	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	112	0.112	0.0022496	2.2496	0.00000334224	0.000487651	0.00000117691	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	114	0.114	0.00226662	2.26662	0.0000033474	0.000502875	0.00000121168	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	116	0.116	0.00228317	2.28317	0.00000335141	0.000518249	0.00000124667	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	118	0.118	0.00229926	2.29926	0.00000335429	0.000533768	0.00000128187	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	120	0.12	0.0023149	2.3149	0.00000335605	0.000549428	0.00000131728	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	122	0.122	0.00233008	2.33008	0.00000335672	0.000565227	0.00000135288	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	124	0.124	0.00234482	2.34482	0.0000033563	0.000581159	0.00000138865	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	126	0.126	0.00235912	2.35912	0.00000335481	0.000597222	0.00000142459	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	128	0.128	0.00237298	2.37298	0.00000335227	0.000613411	0.00000146068	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	130	0.13	0.00238642	2.38642	0.00000334869	0.000629722	0.00000149691	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	132	0.132	0.00239943	2.39943	0.00000334408	0.000646152	0.00000153327	0	O	IAEA LiveChart bin_beta Betashape
