nuclide	particle	bin_energy_keV	bin_energy_MeV	dn_dE_per_decay_per_keV	dn_dE_per_decay_per_MeV	unc_dn_dE_per_decay_per_keV	nu_dn_dE_per_decay_per_keV	nu_unc_dn_dE_per_decay_per_keV	parent_energy_keV	daughter	source
I-131	beta-	0	0	0.00349502	3.49502	0.0000218824	0	0	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	0.8	0.0008	0.00346767	3.46767	0.0000218821	3.25132e-08	0.000000000179147	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	1.6	0.0016	0.003451	3.451	0.0000218818	1.29249e-07	0.000000000710466	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	2.4	0.0024	0.00344501	3.44501	0.0000218814	2.90109e-07	0.00000000159395	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	3.2	0.0032	0.00344421	3.44421	0.0000218809	5.14945e-07	0.00000000282961	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	4	0.004	0.00344289	3.44289	0.0000218802	8.03621e-07	0.00000000441742	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	4.8	0.0048	0.00344142	3.44142	0.0000218794	1.15527e-06	0.00000000635098	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	5.6	0.0056	0.00343982	3.43982	0.0000218784	1.57009e-06	0.00000000863303	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	6.4	0.0064	0.00343809	3.43809	0.0000218772	2.04763e-06	0.0000000112608	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	7.2	0.0072	0.00343626	3.43626	0.0000218757	2.58745e-06	0.0000000142316	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	8	0.008	0.00343435	3.43435	0.0000218741	3.18962e-06	0.0000000175472	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	8.8	0.0088	0.00343239	3.43239	0.0000218724	3.8533e-06	0.0000000212013	0	Xe	IAEA LiveChart bin_beta Betashape
