nuclide	particle	radiation_code	shell	energy_keV	energy_MeV	yield_per_decay	intensity_percent	parent_energy_keV	decay	decay_percent	daughter	unc_energy_keV	unc_intensity_percent	source
I-131	gamma	G		80.185	0.080185	0.0261615	2.61615	0	B-	100	Xe	0.002	0.036336792648774055	IAEA LiveChart decay_rads
I-131	gamma	G		85.9	0.0859	8.965e-07	8.965e-05	0	B-	100	Xe	0.2	0.000048903092949219484	IAEA LiveChart decay_rads
I-131	gamma	G		163.93	0.16393	0.000211085	0.0211085	0	B-	100	Xe	0.008	0.00042758215584844046	IAEA LiveChart decay_rads
I-131	gamma	G		177.214	0.177214	0.0026895	0.26895	0	B-	100	Xe	0.002	0.0036537788657771833	IAEA LiveChart decay_rads
I-131	gamma	G		232.18	0.23218	3.1785e-05	0.0031785	0	B-	100	Xe	0.15	0.00040796629762763494	IAEA LiveChart decay_rads
I-131	gamma	G		272.498	0.272498	0.000576205	0.0576205	0	B-	100	Xe	0.017	0.0011169165143375757	IAEA LiveChart decay_rads
I-131	gamma	G		284.305	0.284305	0.0612065	6.12065	0	B-	100	Xe	0.005	0.06165397391896162	IAEA LiveChart decay_rads
I-131	gamma	G		295.8	0.2958	1.793e-05	0.001793	0	B-	100	Xe	0.2	0.0008150742297484322	IAEA LiveChart decay_rads
I-131	gamma	G		302.4	0.3024	4.727e-05	0.004727	0	B-	100	Xe	0.2	0.0005712365972169501	IAEA LiveChart decay_rads
I-131	gamma	G		318.088	0.318088	0.00077425	0.077425	0	B-	100	Xe	0.016	0.0016978000471198015	IAEA LiveChart decay_rads
I-131	gamma	G		324.651	0.324651	0.0002119	0.02119	0	B-	100	Xe	0.025	0.0024484535935973954	IAEA LiveChart decay_rads
I-131	gamma	G		325.789	0.325789	0.00273025	0.273025	0	B-	100	Xe	0.004	0.02125609853665531	IAEA LiveChart decay_rads
I-131	gamma	G		358.4	0.3584	0.000163	0.0163	0	B-	100	Xe	0.2	0.005705876356879809	IAEA LiveChart decay_rads
I-131	gamma	G		364.489	0.364489	0.815	81.5	0	B-	100	Xe	0.005	0.7585975547020963	IAEA LiveChart decay_rads
I-131	gamma	G		404.814	0.404814	0.00054605	0.054605	0	B-	100	Xe	0.004	0.0016640688086734874	IAEA LiveChart decay_rads
I-131	gamma	G		449.6	0.4496	7.335e-05	0.007335	0	B-	100	Xe	0.2	0.0024454140753663784	IAEA LiveChart decay_rads
I-131	gamma	G		503.004	0.503004	0.00359415	0.359415	0	B-	100	Xe	0.004	0.0039356860901245665	IAEA LiveChart decay_rads
I-131	gamma	G		636.989	0.636989	0.071557	7.1557	0	B-	100	Xe	0.004	0.09982150319445204	IAEA LiveChart decay_rads
I-131	gamma	G		642.719	0.642719	0.0021679	0.21679	0	B-	100	Xe	0.005	0.0042865516443873625	IAEA LiveChart decay_rads
I-131	gamma	G		722.911	0.722911	0.0176855	1.76855	0	B-	100	Xe	0.005	0.026749299056236967	IAEA LiveChart decay_rads
I-131	gamma	G		4.54	0.00454	0.00604015790742	0.604015790742	0	B-	100	Xe		0.04431587811313878	IAEA LiveChart decay_rads
I-131	gamma	G		29.458	0.029458	0.0144603676184	1.44603676184	0	B-	100	Xe		0.09038665112772425	IAEA LiveChart decay_rads
I-131	gamma	G		29.778	0.029778	0.0267883801748	2.67883801748	0	B-	100	Xe		0.16698444403299537	IAEA LiveChart decay_rads
I-131	gamma	G		33.726	0.033726	0.00776584434586	0.776584434586	0	B-	100	Xe		0.0491505576795818	IAEA LiveChart decay_rads
I-131	gamma	G		34.03	0.03403	0.00959858361148	0.959858361148	0	B-	100	Xe		0.06062587124636211	IAEA LiveChart decay_rads
I-131	gamma	G		34.414	0.034414	0.00183273926562	0.183273926562	0	B-	100	Xe		0.012232179618843382	IAEA LiveChart decay_rads
I-131	xray	X	L	4.54	0.00454	0.00604015790742	0.604015790742	0	B-	100	Xe		0.04431587811313878	IAEA LiveChart decay_rads
I-131	xray	X	KA2	29.458	0.029458	0.0144603676184	1.44603676184	0	B-	100	Xe		0.09038665112772425	IAEA LiveChart decay_rads
I-131	xray	X	KA1	29.778	0.029778	0.0267883801748	2.67883801748	0	B-	100	Xe		0.16698444403299537	IAEA LiveChart decay_rads
I-131	xray	X	KpB1	33.726	0.033726	0.00776584434586	0.776584434586	0	B-	100	Xe		0.0491505576795818	IAEA LiveChart decay_rads
I-131	xray	X	KB	34.03	0.03403	0.00959858361148	0.959858361148	0	B-	100	Xe		0.06062587124636211	IAEA LiveChart decay_rads
I-131	xray	X	KpB2	34.414	0.034414	0.00183273926562	0.183273926562	0	B-	100	Xe		0.012232179618843382	IAEA LiveChart decay_rads
I-131	electron	AU	L	3.954	0.003954	0.0562295112412	5.62295112412	0	B-	100	Xe		0.2952237362576518	IAEA LiveChart decay_rads
I-131	electron	AU	KLL	24.325	0.024325	0.00422169503912	0.422169503912	0	B-	100	Xe		0.03229478355611359	IAEA LiveChart decay_rads
I-131	electron	AU	KLX	28.864	0.028864	0.00196308819319	0.196308819319	0	B-	100	Xe		0.015164702416868002	IAEA LiveChart decay_rads
I-131	electron	AU	K	29.1	0.0291	0.00641317693392	0.641317693392	0	B-	100	Xe		0.04901137325409182	IAEA LiveChart decay_rads
I-131	electron	AU	KXY	33.404	0.033404	0.000228393701616	0.0228393701616	0	B-	100	Xe		0.0018078108807034604	IAEA LiveChart decay_rads
I-131	electron	CE	K	45.62	0.04562	0.0313938	3.13938	0	B-	100	Xe		0.34288335028147693	IAEA LiveChart decay_rads
I-131	electron	CE	K	51.335	0.051335	1.34475e-06	0.000134475	0	B-	100	Xe		0.0000859661779422582	IAEA LiveChart decay_rads
I-131	electron	CE	L	74.7318	0.0747318	0.004447455	0.4447455	0	B-	100	Xe		0.05268638159192563	IAEA LiveChart decay_rads
I-131	electron	CE	M	79.0363	0.0790363	0.00093396555	0.093396555	0	B-	100	Xe		0.0018422402145892918	IAEA LiveChart decay_rads
I-131	electron	CE	N+	79.9718	0.0799718	0.000217402065	0.0217402065	0	B-	100	Xe		0.00043558713557708523	IAEA LiveChart decay_rads
I-131	electron	CE	N	79.9718	0.0799718	0.000193333485	0.0193333485	0	B-	100	Xe		0.000393602696686011	IAEA LiveChart decay_rads
I-131	electron	CE	O	80.16161	0.08016161	2.406858e-05	0.002406858	0	B-	100	Xe		0.00004768890352065667	IAEA LiveChart decay_rads
I-131	electron	CE	L	80.4468	0.0804468	4.4825e-07	4.4825e-05	0	B-	100	Xe		0.000043402969080467296	IAEA LiveChart decay_rads
I-131	electron	CE	M	84.7513	0.0847513	1.0758e-07	1.0758e-05	0	B-	100	Xe		0.000009976896924896038	IAEA LiveChart decay_rads
I-131	electron	CE	N+	85.6868	0.0856868	2.24125e-08	2.24125e-06	0	B-	100	Xe		0.0000020966870379243536	IAEA LiveChart decay_rads
I-131	electron	CE	N	85.6868	0.0856868	2.06195e-08	2.06195e-06	0	B-	100	Xe		0.0000018941590521917635	IAEA LiveChart decay_rads
I-131	electron	CE	O	85.87661	0.08587661	2.1516e-09	2.1516e-07	0	B-	100	Xe		0.00000019236006868630508	IAEA LiveChart decay_rads
I-131	electron	CE	K	129.365	0.129365	0.006670286	0.6670286	0	B-	100	Xe		0.01714512825564452	IAEA LiveChart decay_rads
I-131	electron	CE	K	142.649	0.142649	0.00048411	0.048411	0	B-	100	Xe		0.003293729497089887	IAEA LiveChart decay_rads
I-131	electron	CE	L	158.4768	0.1584768	0.00311350375	0.311350375	0	B-	100	Xe		0.007708811404002242	IAEA LiveChart decay_rads
I-131	electron	CE	M	162.7813	0.1627813	0.0007134673	0.07134673	0	B-	100	Xe		0.0017895823527362467	IAEA LiveChart decay_rads
I-131	electron	CE	N+	163.7168	0.1637168	0.000161902195	0.0161902195	0	B-	100	Xe		0.00040183160689615996	IAEA LiveChart decay_rads
I-131	electron	CE	N	163.7168	0.1637168	0.000145859735	0.0145859735	0	B-	100	Xe		0.00036311576290695507	IAEA LiveChart decay_rads
I-131	electron	CE	O	163.90661	0.16390661	1.59369175e-05	0.00159369175	0	B-	100	Xe		0.00003976549975855327	IAEA LiveChart decay_rads
I-131	electron	CE	L	171.7608	0.1717608	0.00011269005	0.011269005	0	B-	100	Xe		0.0002426546502459823	IAEA LiveChart decay_rads
I-131	electron	CE	M	176.0653	0.1760653	2.36676e-05	0.00236676	0	B-	100	Xe		0.000049513434065917905	IAEA LiveChart decay_rads
I-131	electron	CE	N+	177.0008	0.1770008	5.27142e-06	0.000527142	0	B-	100	Xe		0.000010788254558083064	IAEA LiveChart decay_rads
I-131	electron	CE	N	177.0008	0.1770008	4.760415e-06	0.0004760415	0	B-	100	Xe		0.00001034046519939988	IAEA LiveChart decay_rads
I-131	electron	CE	O	177.19061	0.17719061	5.16384e-07	5.16384e-05	0	B-	100	Xe		0.0000010691795961857858	IAEA LiveChart decay_rads
I-131	electron	CE	K	197.615	0.197615	2.4824085e-06	0.00024824085	0	B-	100	Xe		0.000032053427322011915	IAEA LiveChart decay_rads
I-131	electron	CE	L	226.7268	0.2267268	4.793178e-07	4.793178e-05	0	B-	100	Xe		0.000006191744812772891	IAEA LiveChart decay_rads
I-131	electron	CE	M	231.0313	0.2310313	9.98049e-08	9.98049e-06	0	B-	100	Xe		0.0000012908347961784266	IAEA LiveChart decay_rads
I-131	electron	CE	N+	231.9668	0.2319668	2.2408425e-08	2.2408425e-06	0	B-	100	Xe		0.00000028936721935544115	IAEA LiveChart decay_rads
I-131	electron	CE	N	231.9668	0.2319668	2.015169e-08	2.015169e-06	0	B-	100	Xe		0.0000002602277495507541	IAEA LiveChart decay_rads
I-131	electron	CE	O	232.15661	0.23215661	2.2535565e-09	2.2535565e-07	0	B-	100	Xe		0.000000029098926523413198	IAEA LiveChart decay_rads
I-131	electron	CE	K	237.933	0.237933	2.61020865e-05	0.00261020865	0	B-	100	Xe		0.00006470585132078474	IAEA LiveChart decay_rads
I-131	electron	CE	K	249.74	0.24974	0.0024972252	0.24972252	0	B-	100	Xe		0.004451303032607419	IAEA LiveChart decay_rads
I-131	electron	CE	K	261.235	0.261235	1.672869e-07	1.672869e-05	0	B-	100	Xe		0.000007608784368070895	IAEA LiveChart decay_rads
I-131	electron	CE	L	267.0448	0.2670448	3.5148505e-06	0.00035148505	0	B-	100	Xe		0.000018580380777785474	IAEA LiveChart decay_rads
I-131	electron	CE	K	267.835	0.267835	4.164487e-07	4.164487e-05	0	B-	100	Xe		0.000005069973289005082	IAEA LiveChart decay_rads
I-131	electron	CE	M	271.3493	0.2713493	7.2025625e-07	7.2025625e-05	0	B-	100	Xe		0.0000037284932518579137	IAEA LiveChart decay_rads
I-131	electron	CE	N+	272.2848	0.2722848	1.66523245e-07	1.66523245e-05	0	B-	100	Xe		0.0000008156551218037866	IAEA LiveChart decay_rads
I-131	electron	CE	N	272.2848	0.2722848	1.48084685e-07	1.48084685e-05	0	B-	100	Xe		0.000000748661381091946	IAEA LiveChart decay_rads
I-131	electron	CE	O	272.47461	0.27247461	1.82656985e-08	1.82656985e-06	0	B-	100	Xe		0.00000007260131150142882	IAEA LiveChart decay_rads
I-131	electron	CE	L	278.8518	0.2788518	0.00043701441	0.043701441	0	B-	100	Xe		0.0007539282837180205	IAEA LiveChart decay_rads
I-131	electron	CE	M	283.1563	0.2831563	9.05244135e-05	0.00905244135	0	B-	100	Xe		0.00015759386807403071	IAEA LiveChart decay_rads
I-131	electron	CE	K	283.523	0.283523	2.3304925e-05	0.0023304925	0	B-	100	Xe		0.0000641112636866565	IAEA LiveChart decay_rads
I-131	electron	CE	N	284.0918	0.2840918	1.836195e-05	0.001836195	0	B-	100	Xe		0.000035758468025944564	IAEA LiveChart decay_rads
I-131	electron	CE	N+	284.0918	0.2840918	2.0442971e-05	0.0020442971	0	B-	100	Xe		0.00003688640633366851	IAEA LiveChart decay_rads
I-131	electron	CE	O	284.28161	0.28428161	2.0932623e-06	0.00020932623	0	B-	100	Xe		0.0000037164013903405266	IAEA LiveChart decay_rads
I-131	electron	CE	K	290.086	0.290086	5.9332e-06	0.00059332	0	B-	100	Xe		0.00007062146631159679	IAEA LiveChart decay_rads
I-131	electron	CE	L	290.3468	0.2903468	2.103189e-08	2.103189e-06	0	B-	100	Xe		0.0000009565678328247296	IAEA LiveChart decay_rads
I-131	electron	CE	K	291.224	0.291224	9.28285e-05	0.00928285	0	B-	100	Xe		0.001309575627483957	IAEA LiveChart decay_rads
I-131	electron	CE	M	294.6513	0.2946513	4.24941e-09	4.24941e-07	0	B-	100	Xe		0.00000019330568552942256	IAEA LiveChart decay_rads
I-131	electron	CE	N+	295.5868	0.2955868	9.80771e-10	9.80771e-08	0	B-	100	Xe		0.00000004460762856844107	IAEA LiveChart decay_rads
I-131	electron	CE	N	295.5868	0.2955868	8.73191e-10	8.73191e-08	0	B-	100	Xe		0.000000039713952721304385	IAEA LiveChart decay_rads
I-131	electron	CE	O	295.77661	0.29577661	1.072214e-10	1.072214e-08	0	B-	100	Xe		0.000000004876814429040745	IAEA LiveChart decay_rads
I-131	electron	CE	L	296.9468	0.2969468	5.232789e-08	5.232789e-06	0	B-	100	Xe		0.0000006368657585592509	IAEA LiveChart decay_rads
