nuclide	particle	bin_energy_keV	bin_energy_MeV	dn_dE_per_decay_per_keV	dn_dE_per_decay_per_MeV	unc_dn_dE_per_decay_per_keV	nu_dn_dE_per_decay_per_keV	nu_unc_dn_dE_per_decay_per_keV	parent_energy_keV	daughter	source
Tc-99m	beta-	0	0	2.221e-07	0.0002221	0.00000000000080655	0	0	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	0.3	0.0003	2.21846e-07	0.000221846	0.000000000000808229	7.37858e-13	1.74984e-18	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	0.6	0.0006	2.21878e-07	0.000221878	0.000000000000809708	2.92972e-12	6.942e-18	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	0.9	0.0009	2.22196e-07	0.000222196	0.000000000000810988	6.57419e-12	1.55764e-17	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	1.2	0.0012	2.22518e-07	0.000222518	0.000000000000812061	1.16699e-11	2.76529e-17	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	1.7	0.0017	2.22914e-07	0.000222914	0.000000000000813389	2.33838e-11	5.54291e-17	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	2.2	0.0022	2.23106e-07	0.000223106	0.000000000000814141	3.91063e-11	9.27316e-17	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	2.7	0.0027	2.23094e-07	0.000223094	0.000000000000814319	5.88066e-11	1.39493e-16	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	3.2	0.0032	2.22932e-07	0.000222932	0.000000000000814048	8.24766e-11	1.95708e-16	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	3.7	0.0037	2.22711e-07	0.000222711	0.000000000000813571	1.10086e-10	2.6131e-16	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	4.2	0.0042	2.22422e-07	0.000222422	0.000000000000812875	1.41627e-10	3.36294e-16	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	4.7	0.0047	2.22119e-07	0.000222119	0.000000000000812143	1.77069e-10	4.20592e-16	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	5.2	0.0052	2.21789e-07	0.000221789	0.000000000000811327	2.16404e-10	5.142e-16	142.6836	Ru	IAEA LiveChart bin_beta Betashape
