nuclide	particle	radiation_code	shell	energy_keV	energy_MeV	yield_per_decay	intensity_percent	parent_energy_keV	decay	decay_percent	daughter	unc_energy_keV	unc_intensity_percent	source
Tc-99m	gamma	G		2.1726	0.0021726	7.07e-11	7.07e-09	142.6836	IT	99.9963	Tc	0.0004	0.00000000024	IAEA LiveChart decay_rads
Tc-99m	gamma	G		89.6	0.0896	1.04e-05	0.00104	142.6836	B-	0.0037	Ru	0.3	0.00019	IAEA LiveChart decay_rads
Tc-99m	gamma	G		140.511	0.140511	0.89	89	142.6836	IT	99.9963	Tc	0.001	4	IAEA LiveChart decay_rads
Tc-99m	gamma	G		142.63	0.14263	0.000222	0.0222	142.6836	IT	99.9963	Tc	0.03	0.0019	IAEA LiveChart decay_rads
Tc-99m	gamma	G		232.8	0.2328	8.51e-08	8.51e-06	142.6836	B-	0.0037	Ru	0.2	0.00000148	IAEA LiveChart decay_rads
Tc-99m	gamma	G		322.4	0.3224	9.694e-07	9.694e-05	142.6836	B-	0.0037	Ru	0.2	0.0000051799999999999995	IAEA LiveChart decay_rads
Tc-99m	gamma	G		2.586	0.002586	0.0044999264064	0.44999264064	142.6836	IT	99.9963	Tc		0.022303578735653494	IAEA LiveChart decay_rads
Tc-99m	gamma	G		2.737	0.002737	6.76607595453e-07	6.76607595453e-05	142.6836	B-	0.0037	Ru		0.000010654821632199819	IAEA LiveChart decay_rads
Tc-99m	gamma	G		18.25	0.01825	0.0211751271706	2.11751271706	142.6836	IT	99.9963	Tc		0.10365712284513368	IAEA LiveChart decay_rads
Tc-99m	gamma	G		18.367	0.018367	0.0402645506192	4.02645506192	142.6836	IT	99.9963	Tc		0.19617266407891779	IAEA LiveChart decay_rads
Tc-99m	gamma	G		19.15	0.01915	2.78047020177e-06	0.000278047020177	142.6836	B-	0.0037	Ru		0.00005172189269883801	IAEA LiveChart decay_rads
Tc-99m	gamma	G		19.279	0.019279	5.27603453846e-06	0.000527603453846	142.6836	B-	0.0037	Ru		0.00009811208979798067	IAEA LiveChart decay_rads
Tc-99m	gamma	G		20.695	0.020695	0.0107015397325	1.07015397325	142.6836	IT	99.9963	Tc		0.053085742393340775	IAEA LiveChart decay_rads
Tc-99m	gamma	G		20.82	0.02082	0.0123923830102	1.23923830102	142.6836	IT	99.9963	Tc		0.0612399755660652	IAEA LiveChart decay_rads
Tc-99m	gamma	G		21.003	0.021003	0.00169084327773	0.169084327773	142.6836	IT	99.9963	Tc		0.009948954107848962	IAEA LiveChart decay_rads
Tc-99m	gamma	G		21.736	0.021736	1.41786163457e-06	0.000141786163457	142.6836	B-	0.0037	Ru		0.00002639863516236966	IAEA LiveChart decay_rads
Tc-99m	gamma	G		21.875	0.021875	1.64755521938e-06	0.000164755521938	142.6836	B-	0.0037	Ru		0.00003066702096131516	IAEA LiveChart decay_rads
Tc-99m	gamma	G		22.072	0.022072	2.29693584801e-07	2.29693584801e-05	142.6836	B-	0.0037	Ru		0.0000043349405947500005	IAEA LiveChart decay_rads
Tc-99m	xray	X	L	2.586	0.002586	0.0044999264064	0.44999264064	142.6836	IT	99.9963	Tc		0.022303578735653494	IAEA LiveChart decay_rads
Tc-99m	xray	X	L	2.737	0.002737	6.76607595453e-07	6.76607595453e-05	142.6836	B-	0.0037	Ru		0.000010654821632199819	IAEA LiveChart decay_rads
Tc-99m	xray	X	KA2	18.25	0.01825	0.0211751271706	2.11751271706	142.6836	IT	99.9963	Tc		0.10365712284513368	IAEA LiveChart decay_rads
Tc-99m	xray	X	KA1	18.367	0.018367	0.0402645506192	4.02645506192	142.6836	IT	99.9963	Tc		0.19617266407891779	IAEA LiveChart decay_rads
Tc-99m	xray	X	KA2	19.15	0.01915	2.78047020177e-06	0.000278047020177	142.6836	B-	0.0037	Ru		0.00005172189269883801	IAEA LiveChart decay_rads
Tc-99m	xray	X	KA1	19.279	0.019279	5.27603453846e-06	0.000527603453846	142.6836	B-	0.0037	Ru		0.00009811208979798067	IAEA LiveChart decay_rads
Tc-99m	xray	X	KpB1	20.695	0.020695	0.0107015397325	1.07015397325	142.6836	IT	99.9963	Tc		0.053085742393340775	IAEA LiveChart decay_rads
Tc-99m	xray	X	KB	20.82	0.02082	0.0123923830102	1.23923830102	142.6836	IT	99.9963	Tc		0.0612399755660652	IAEA LiveChart decay_rads
Tc-99m	xray	X	KpB2	21.003	0.021003	0.00169084327773	0.169084327773	142.6836	IT	99.9963	Tc		0.009948954107848962	IAEA LiveChart decay_rads
Tc-99m	xray	X	KpB1	21.736	0.021736	1.41786163457e-06	0.000141786163457	142.6836	B-	0.0037	Ru		0.00002639863516236966	IAEA LiveChart decay_rads
Tc-99m	xray	X	KB	21.875	0.021875	1.64755521938e-06	0.000164755521938	142.6836	B-	0.0037	Ru		0.00003066702096131516	IAEA LiveChart decay_rads
Tc-99m	xray	X	KpB2	22.072	0.022072	2.29693584801e-07	2.29693584801e-05	142.6836	B-	0.0037	Ru		0.0000043349405947500005	IAEA LiveChart decay_rads
Tc-99m	electron	AU	L	2.306	0.002306	0.103932035194	10.3932035194	142.6836	IT	99.9963	Tc		0.4502877918384605	IAEA LiveChart decay_rads
Tc-99m	electron	AU	L	2.437	0.002437	1.42595424145e-05	0.00142595424145	142.6836	B-	0.0037	Ru		0.00022187132044139472	IAEA LiveChart decay_rads
Tc-99m	electron	AU	KLL	15.319	0.015319	0.0142566594168	1.42566594168	142.6836	IT	99.9963	Tc		0.07390759590210887	IAEA LiveChart decay_rads
Tc-99m	electron	AU	KLL	16.049	0.016049	1.71420605211e-06	0.000171420605211	142.6836	B-	0.0037	Ru		0.00003204362403729332	IAEA LiveChart decay_rads
Tc-99m	electron	AU	KLX	17.905	0.017905	0.00574543374496	0.574543374496	142.6836	IT	99.9963	Tc		0.030325770735668355	IAEA LiveChart decay_rads
Tc-99m	electron	AU	K	17.975	0.017975	0.0205823392	2.05823392	142.6836	IT	99.9963	Tc		0.10654322240092422	IAEA LiveChart decay_rads
Tc-99m	electron	AU	KLX	18.786	0.018786	7.01110275313e-07	7.01110275313e-05	142.6836	B-	0.0037	Ru		0.000013123767026762849	IAEA LiveChart decay_rads
Tc-99m	electron	AU	K	18.864	0.018864	2.4869701404e-06	0.00024869701404	142.6836	B-	0.0037	Ru		0.00004648367790365776	IAEA LiveChart decay_rads
Tc-99m	electron	AU	KXY	20.472	0.020472	0.000580246038263	0.0580246038263	142.6836	IT	99.9963	Tc		0.003169264268270572	IAEA LiveChart decay_rads
Tc-99m	electron	AU	KXY	21.502	0.021502	7.16538129782e-08	7.16538129782e-06	142.6836	B-	0.0037	Ru		0.000001344787690763899	IAEA LiveChart decay_rads
Tc-99m	electron	CE	M	1.6216	0.0016216	0.87516	87.516	142.6836	IT	99.9963	Tc		2.7177085936501726	IAEA LiveChart decay_rads
Tc-99m	electron	CE	N	2.0986	0.0020986	0.115335	11.5335	142.6836	IT	99.9963	Tc		0.41180953121558517	IAEA LiveChart decay_rads
Tc-99m	electron	CE	O	2.16433	0.00216433	2.5146e-06	0.00025146	142.6836	IT	99.9963	Tc		0.000009086633039800825	IAEA LiveChart decay_rads
Tc-99m	electron	CE	K	67.477	0.067477	1.2173e-05	0.0012173	142.6836	B-	0.0037	Ru		0.00022660347856994604	IAEA LiveChart decay_rads
Tc-99m	electron	CE	L	86.37	0.08637	2.74281e-06	0.000274281	142.6836	B-	0.0037	Ru		0.000051315770601346323	IAEA LiveChart decay_rads
Tc-99m	electron	CE	M	89.008	0.089008	5.1541e-07	5.1541e-05	142.6836	B-	0.0037	Ru		0.000009659104234348028	IAEA LiveChart decay_rads
Tc-99m	electron	CE	N	89.519	0.089519	7.7182e-08	7.7182e-06	142.6836	B-	0.0037	Ru		0.0000014448003026024047	IAEA LiveChart decay_rads
Tc-99m	electron	CE	O	89.59188	0.08959188	1.79228e-09	1.79228e-07	142.6836	B-	0.0037	Ru		0.00000003351115879882401	IAEA LiveChart decay_rads
Tc-99m	electron	CE	K	119.461	0.119461	0.087932	8.7932	142.6836	IT	99.9963	Tc		0.45352981158905087	IAEA LiveChart decay_rads
Tc-99m	electron	CE	K	121.58	0.12158	0.0064824	0.64824	142.6836	IT	99.9963	Tc		0.05618616199741712	IAEA LiveChart decay_rads
Tc-99m	electron	CE	L	137.463	0.137463	0.01068	1.068	142.6836	IT	99.9963	Tc		0.06545418244848834	IAEA LiveChart decay_rads
Tc-99m	electron	CE	L	139.582	0.139582	0.00201576	0.201576	142.6836	IT	99.9963	Tc		0.017491726615746085	IAEA LiveChart decay_rads
Tc-99m	electron	CE	M	139.96	0.13996	0.0019402	0.19402	142.6836	IT	99.9963	Tc		0.011257566344463621	IAEA LiveChart decay_rads
Tc-99m	electron	CE	N	140.437	0.140437	0.00030705	0.030705	142.6836	IT	99.9963	Tc		0.0017449997134670252	IAEA LiveChart decay_rads
