p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
9,9,F,0,8,10,O,0,0,0,0,0,2026-07-09
9,9,F,0,8,10,O,2,0.0000320966,0.0000000605862,0.000000197315,0.000000000512338,2026-07-09
9,9,F,0,8,10,O,4,0.000111823,0.000000210402,0.000000786072,0.00000000203884,2026-07-09
9,9,F,0,8,10,O,6,0.000198696,0.000000372649,0.0000017615,0.00000000456379,2026-07-09
9,9,F,0,8,10,O,8,0.000283603,0.000000530151,0.00000311885,0.00000000807151,2026-07-09
9,9,F,0,8,10,O,10,0.000364639,0.000000679385,0.00000485339,0.0000000125464,2026-07-09
9,9,F,0,8,10,O,12,0.000441578,0.000000819992,0.00000696039,0.000000017973,2026-07-09
9,9,F,0,8,10,O,14,0.000514639,0.000000952447,0.00000943515,0.0000000243357,2026-07-09
9,9,F,0,8,10,O,16,0.000584149,0.00000107741,0.000012273,0.0000000316191,2026-07-09
9,9,F,0,8,10,O,18,0.000650436,0.00000119556,0.0000154692,0.0000000398079,2026-07-09
9,9,F,0,8,10,O,20,0.0007138,0.00000130747,0.0000190192,0.0000000488869,2026-07-09
9,9,F,0,8,10,O,22,0.000774506,0.0000014137,0.0000229183,0.0000000588406,2026-07-09
9,9,F,0,8,10,O,24,0.000832786,0.0000015147,0.0000271619,0.0000000696541,2026-07-09
9,9,F,0,8,10,O,26,0.000888839,0.00000161088,0.0000317453,0.0000000813121,2026-07-09
9,9,F,0,8,10,O,28,0.00094284,0.00000170258,0.0000366641,0.0000000937997,2026-07-09
9,9,F,0,8,10,O,30,0.000994941,0.00000179011,0.0000419135,0.000000107102,2026-07-09
9,9,F,0,8,10,O,32,0.00104527,0.00000187374,0.0000474892,0.000000121203,2026-07-09
9,9,F,0,8,10,O,34,0.00109396,0.00000195371,0.0000533864,0.00000013609,2026-07-09
9,9,F,0,8,10,O,36,0.0011411,0.00000203023,0.0000596008,0.000000151746,2026-07-09
9,9,F,0,8,10,O,38,0.00118679,0.00000210349,0.0000661277,0.000000168157,2026-07-09
9,9,F,0,8,10,O,40,0.0012311,0.00000217365,0.0000729627,0.000000185309,2026-07-09
9,9,F,0,8,10,O,42,0.00127412,0.00000224087,0.0000801014,0.000000203187,2026-07-09
9,9,F,0,8,10,O,44,0.00131591,0.00000230529,0.0000875392,0.000000221776,2026-07-09
9,9,F,0,8,10,O,46,0.00135653,0.00000236702,0.0000952717,0.000000241062,2026-07-09
9,9,F,0,8,10,O,48,0.00139604,0.00000242619,0.000103295,0.00000026103,2026-07-09
9,9,F,0,8,10,O,50,0.00143448,0.00000248288,0.000111603,0.000000281666,2026-07-09
9,9,F,0,8,10,O,52,0.00147189,0.00000253721,0.000120193,0.000000302955,2026-07-09
9,9,F,0,8,10,O,54,0.00150833,0.00000258925,0.000129061,0.000000324884,2026-07-09
9,9,F,0,8,10,O,56,0.00154383,0.00000263908,0.000138201,0.000000347438,2026-07-09
9,9,F,0,8,10,O,58,0.00157842,0.00000268679,0.000147609,0.000000370603,2026-07-09
9,9,F,0,8,10,O,60,0.00161214,0.00000273243,0.000157282,0.000000394365,2026-07-09
9,9,F,0,8,10,O,62,0.00164501,0.00000277606,0.000167214,0.00000041871,2026-07-09
9,9,F,0,8,10,O,64,0.00167707,0.00000281776,0.000177402,0.000000443623,2026-07-09
9,9,F,0,8,10,O,66,0.00170834,0.00000285757,0.000187841,0.000000469092,2026-07-09
9,9,F,0,8,10,O,68,0.00173884,0.00000289555,0.000198526,0.000000495101,2026-07-09
9,9,F,0,8,10,O,70,0.00176859,0.00000293175,0.000209455,0.000000521638,2026-07-09
9,9,F,0,8,10,O,72,0.00179762,0.0000029662,0.000220622,0.000000548688,2026-07-09
9,9,F,0,8,10,O,74,0.00182595,0.00000299895,0.000232023,0.000000576238,2026-07-09
9,9,F,0,8,10,O,76,0.00185359,0.00000303005,0.000243654,0.000000604275,2026-07-09
9,9,F,0,8,10,O,78,0.00188057,0.00000305953,0.000255511,0.000000632784,2026-07-09
9,9,F,0,8,10,O,80,0.00190689,0.00000308743,0.000267589,0.000000661752,2026-07-09
9,9,F,0,8,10,O,82,0.00193257,0.00000311378,0.000279885,0.000000691167,2026-07-09
9,9,F,0,8,10,O,84,0.00195763,0.00000313862,0.000292395,0.000000721013,2026-07-09
9,9,F,0,8,10,O,86,0.00198209,0.00000316196,0.000305113,0.000000751279,2026-07-09
9,9,F,0,8,10,O,88,0.00200594,0.00000318386,0.000318037,0.00000078195,2026-07-09
9,9,F,0,8,10,O,90,0.00202922,0.00000320433,0.000331162,0.000000813014,2026-07-09
9,9,F,0,8,10,O,92,0.00205191,0.00000322339,0.000344484,0.000000844458,2026-07-09
9,9,F,0,8,10,O,94,0.00207405,0.00000324109,0.000357999,0.000000876267,2026-07-09
9,9,F,0,8,10,O,96,0.00209564,0.00000325743,0.000371702,0.00000090843,2026-07-09
9,9,F,0,8,10,O,98,0.00211669,0.00000327245,0.000385591,0.000000940934,2026-07-09
9,9,F,0,8,10,O,100,0.0021372,0.00000328616,0.00039966,0.000000973765,2026-07-09
9,9,F,0,8,10,O,102,0.00215719,0.00000329859,0.000413906,0.00000100691,2026-07-09
9,9,F,0,8,10,O,104,0.00217667,0.00000330976,0.000428325,0.00000104036,2026-07-09
9,9,F,0,8,10,O,106,0.00219564,0.00000331969,0.000442913,0.00000107409,2026-07-09
9,9,F,0,8,10,O,108,0.00221411,0.0000033284,0.000457666,0.00000110811,2026-07-09
9,9,F,0,8,10,O,110,0.0022321,0.00000333591,0.00047258,0.00000114238,2026-07-09
9,9,F,0,8,10,O,112,0.0022496,0.00000334224,0.000487651,0.00000117691,2026-07-09
9,9,F,0,8,10,O,114,0.00226662,0.0000033474,0.000502875,0.00000121168,2026-07-09
9,9,F,0,8,10,O,116,0.00228317,0.00000335141,0.000518249,0.00000124667,2026-07-09
