p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
53,78,I,0,54,77,Xe,0,0.00349502,0.0000218824,0,0,2026-07-09
53,78,I,0,54,77,Xe,0.8,0.00346767,0.0000218821,0.0000000325132,0.000000000179147,2026-07-09
53,78,I,0,54,77,Xe,1.6,0.003451,0.0000218818,0.000000129249,0.000000000710466,2026-07-09
53,78,I,0,54,77,Xe,2.4,0.00344501,0.0000218814,0.000000290109,0.00000000159395,2026-07-09
53,78,I,0,54,77,Xe,3.2,0.00344421,0.0000218809,0.000000514945,0.00000000282961,2026-07-09
53,78,I,0,54,77,Xe,4,0.00344289,0.0000218802,0.000000803621,0.00000000441742,2026-07-09
53,78,I,0,54,77,Xe,4.8,0.00344142,0.0000218794,0.00000115527,0.00000000635098,2026-07-09
53,78,I,0,54,77,Xe,5.6,0.00343982,0.0000218784,0.00000157009,0.00000000863303,2026-07-09
53,78,I,0,54,77,Xe,6.4,0.00343809,0.0000218772,0.00000204763,0.0000000112608,2026-07-09
53,78,I,0,54,77,Xe,7.2,0.00343626,0.0000218757,0.00000258745,0.0000000142316,2026-07-09
53,78,I,0,54,77,Xe,8,0.00343435,0.0000218741,0.00000318962,0.0000000175472,2026-07-09
53,78,I,0,54,77,Xe,8.8,0.00343239,0.0000218724,0.0000038533,0.0000000212013,2026-07-09
53,78,I,0,54,77,Xe,9.6,0.00343038,0.0000218705,0.00000457866,0.0000000251966,2026-07-09
53,78,I,0,54,77,Xe,10,0.00342936,0.0000218695,0.00000496443,0.0000000273221,2026-07-09
53,78,I,0,54,77,Xe,11,0.00342674,0.0000218667,0.0000059951,0.0000000330007,2026-07-09
53,78,I,0,54,77,Xe,12,0.00342406,0.0000218636,0.00000712095,0.0000000392066,2026-07-09
53,78,I,0,54,77,Xe,13,0.00342133,0.0000218603,0.00000834076,0.0000000459315,2026-07-09
53,78,I,0,54,77,Xe,14,0.00341855,0.0000218568,0.0000096546,0.0000000531782,2026-07-09
53,78,I,0,54,77,Xe,15,0.00341571,0.0000218529,0.0000110613,0.0000000609381,2026-07-09
53,78,I,0,54,77,Xe,16,0.00341281,0.0000218488,0.0000125608,0.0000000692141,2026-07-09
53,78,I,0,54,77,Xe,17,0.00340988,0.0000218446,0.000014152,0.0000000779978,2026-07-09
53,78,I,0,54,77,Xe,18,0.0034069,0.00002184,0.000015835,0.0000000872919,2026-07-09
53,78,I,0,54,77,Xe,19,0.00340387,0.0000218353,0.0000176085,0.0000000970882,2026-07-09
53,78,I,0,54,77,Xe,20,0.0034008,0.0000218303,0.0000194727,0.000000107389,2026-07-09
53,78,I,0,54,77,Xe,21,0.00339768,0.000021825,0.0000214262,0.000000118187,2026-07-09
53,78,I,0,54,77,Xe,22,0.00339453,0.0000218196,0.0000234693,0.000000129484,2026-07-09
53,78,I,0,54,77,Xe,23,0.00339134,0.000021814,0.0000256006,0.000000141271,2026-07-09
53,78,I,0,54,77,Xe,24,0.00338811,0.0000218082,0.0000278202,0.000000153553,2026-07-09
53,78,I,0,54,77,Xe,25,0.00338485,0.0000218021,0.0000301271,0.000000166319,2026-07-09
53,78,I,0,54,77,Xe,26,0.00338154,0.0000217959,0.0000325212,0.000000179575,2026-07-09
53,78,I,0,54,77,Xe,27,0.0033782,0.0000217894,0.0000350014,0.00000019331,2026-07-09
53,78,I,0,54,77,Xe,28,0.00337482,0.0000217828,0.0000375676,0.000000207527,2026-07-09
53,78,I,0,54,77,Xe,29,0.00337141,0.000021776,0.0000402189,0.000000222218,2026-07-09
53,78,I,0,54,77,Xe,30,0.00336798,0.000021769,0.0000429551,0.000000237387,2026-07-09
53,78,I,0,54,77,Xe,31,0.00336451,0.0000217618,0.0000457752,0.000000253025,2026-07-09
53,78,I,0,54,77,Xe,32,0.003361,0.0000217544,0.0000486793,0.000000269135,2026-07-09
53,78,I,0,54,77,Xe,33,0.00335746,0.0000217469,0.0000516659,0.000000285707,2026-07-09
53,78,I,0,54,77,Xe,34,0.00335389,0.0000217391,0.0000547354,0.000000302746,2026-07-09
53,78,I,0,54,77,Xe,35,0.00335029,0.0000217313,0.0000578866,0.000000320243,2026-07-09
53,78,I,0,54,77,Xe,36,0.00334667,0.0000217232,0.0000611195,0.0000003382,2026-07-09
53,78,I,0,54,77,Xe,37,0.00334301,0.000021715,0.0000644329,0.000000356611,2026-07-09
53,78,I,0,54,77,Xe,38,0.00333932,0.0000217065,0.0000678269,0.000000375476,2026-07-09
53,78,I,0,54,77,Xe,39,0.00333561,0.0000216979,0.0000713004,0.000000394788,2026-07-09
53,78,I,0,54,77,Xe,40,0.00333186,0.0000216891,0.0000748533,0.00000041455,2026-07-09
53,78,I,0,54,77,Xe,41,0.00332808,0.0000216801,0.0000784847,0.000000434754,2026-07-09
53,78,I,0,54,77,Xe,42,0.00332427,0.000021671,0.0000821945,0.000000455402,2026-07-09
53,78,I,0,54,77,Xe,43,0.00332044,0.0000216617,0.0000859816,0.000000476487,2026-07-09
53,78,I,0,54,77,Xe,44,0.00331657,0.0000216521,0.000089846,0.00000049801,2026-07-09
53,78,I,0,54,77,Xe,45,0.00331268,0.0000216425,0.0000937866,0.000000519964,2026-07-09
53,78,I,0,54,77,Xe,46,0.00330876,0.0000216326,0.0000978035,0.000000542353,2026-07-09
53,78,I,0,54,77,Xe,47,0.00330481,0.0000216226,0.000101896,0.000000565166,2026-07-09
53,78,I,0,54,77,Xe,48,0.00330083,0.0000216124,0.000106063,0.000000588409,2026-07-09
53,78,I,0,54,77,Xe,49,0.00329682,0.000021602,0.000110304,0.000000612071,2026-07-09
53,78,I,0,54,77,Xe,50,0.00329278,0.0000215914,0.00011462,0.000000636157,2026-07-09
53,78,I,0,54,77,Xe,51,0.00328872,0.0000215806,0.000119008,0.000000660657,2026-07-09
53,78,I,0,54,77,Xe,52,0.00328462,0.0000215697,0.00012347,0.000000685575,2026-07-09
53,78,I,0,54,77,Xe,53,0.0032805,0.0000215586,0.000128003,0.000000710903,2026-07-09
53,78,I,0,54,77,Xe,54,0.00327635,0.0000215473,0.000132609,0.000000736643,2026-07-09
53,78,I,0,54,77,Xe,55,0.00327217,0.0000215358,0.000137285,0.000000762788,2026-07-09
53,78,I,0,54,77,Xe,56,0.00326796,0.000021524,0.000142033,0.000000789339,2026-07-09
53,78,I,0,54,77,Xe,57,0.00326372,0.0000215122,0.00014685,0.000000816291,2026-07-09
53,78,I,0,54,77,Xe,58,0.00325946,0.0000215002,0.000151737,0.000000843644,2026-07-09
53,78,I,0,54,77,Xe,59,0.00325517,0.000021488,0.000156693,0.000000871391,2026-07-09
53,78,I,0,54,77,Xe,60,0.00325084,0.0000214755,0.000161718,0.000000899536,2026-07-09
53,78,I,0,54,77,Xe,61,0.00324649,0.0000214629,0.00016681,0.000000928068,2026-07-09
53,78,I,0,54,77,Xe,62,0.0032421,0.0000214501,0.000171971,0.000000956991,2026-07-09
53,78,I,0,54,77,Xe,63,0.00323769,0.0000214371,0.000177198,0.000000986298,2026-07-09
53,78,I,0,54,77,Xe,64,0.00323325,0.0000214239,0.000182492,0.00000101599,2026-07-09
53,78,I,0,54,77,Xe,65,0.00322878,0.0000214105,0.000187851,0.00000104606,2026-07-09
53,78,I,0,54,77,Xe,66,0.00322428,0.0000213969,0.000193277,0.00000107651,2026-07-09
53,78,I,0,54,77,Xe,67,0.00321975,0.0000213831,0.000198767,0.00000110734,2026-07-09
53,78,I,0,54,77,Xe,68,0.00321519,0.0000213692,0.000204322,0.00000113854,2026-07-09
53,78,I,0,54,77,Xe,69,0.00321061,0.000021355,0.00020994,0.00000117011,2026-07-09
53,78,I,0,54,77,Xe,70,0.00320599,0.0000213406,0.000215622,0.00000120206,2026-07-09
53,78,I,0,54,77,Xe,71,0.00320134,0.0000213261,0.000221367,0.00000123436,2026-07-09
53,78,I,0,54,77,Xe,72,0.00319666,0.0000213112,0.000227174,0.00000126703,2026-07-09
53,78,I,0,54,77,Xe,73,0.00319196,0.0000212963,0.000233043,0.00000130006,2026-07-09
53,78,I,0,54,77,Xe,74,0.00318723,0.0000212811,0.000238974,0.00000133345,2026-07-09
53,78,I,0,54,77,Xe,75,0.00318246,0.0000212658,0.000244966,0.00000136719,2026-07-09
53,78,I,0,54,77,Xe,76,0.00317767,0.0000212502,0.000251018,0.00000140129,2026-07-09
53,78,I,0,54,77,Xe,77,0.00317285,0.0000212344,0.00025713,0.00000143573,2026-07-09
53,78,I,0,54,77,Xe,78,0.003168,0.0000212185,0.000263301,0.00000147053,2026-07-09
53,78,I,0,54,77,Xe,79,0.00316312,0.0000212023,0.000269531,0.00000150567,2026-07-09
53,78,I,0,54,77,Xe,80,0.0031582,0.0000211859,0.00027582,0.00000154115,2026-07-09
53,78,I,0,54,77,Xe,81,0.00315326,0.0000211693,0.000282166,0.00000157697,2026-07-09
53,78,I,0,54,77,Xe,82,0.00314829,0.0000211525,0.000288569,0.00000161313,2026-07-09
53,78,I,0,54,77,Xe,83,0.00314329,0.0000211355,0.00029503,0.00000164962,2026-07-09
53,78,I,0,54,77,Xe,84,0.00313827,0.0000211183,0.000301548,0.00000168645,2026-07-09
53,78,I,0,54,77,Xe,85,0.00313321,0.0000211009,0.00030812,0.00000172361,2026-07-09
53,78,I,0,54,77,Xe,86,0.00312813,0.0000210833,0.000314748,0.00000176109,2026-07-09
53,78,I,0,54,77,Xe,87,0.00312301,0.0000210654,0.000321431,0.0000017989,2026-07-09
53,78,I,0,54,77,Xe,88,0.00311786,0.0000210474,0.000328169,0.00000183704,2026-07-09
53,78,I,0,54,77,Xe,89,0.00311269,0.0000210291,0.000334961,0.00000187549,2026-07-09
53,78,I,0,54,77,Xe,90,0.00310748,0.0000210106,0.000341806,0.00000191427,2026-07-09
53,78,I,0,54,77,Xe,91,0.00310225,0.000020992,0.000348704,0.00000195335,2026-07-09
53,78,I,0,54,77,Xe,92,0.00309698,0.0000209731,0.000355655,0.00000199276,2026-07-09
53,78,I,0,54,77,Xe,93,0.00309169,0.000020954,0.000362658,0.00000203247,2026-07-09
53,78,I,0,54,77,Xe,94,0.00308637,0.0000209347,0.000369712,0.00000207249,2026-07-09
53,78,I,0,54,77,Xe,95,0.00308102,0.0000209151,0.000376818,0.00000211282,2026-07-09
53,78,I,0,54,77,Xe,96,0.00307564,0.0000208954,0.000383974,0.00000215345,2026-07-09
53,78,I,0,54,77,Xe,97,0.00307024,0.0000208755,0.000391179,0.00000219437,2026-07-09
53,78,I,0,54,77,Xe,98,0.0030648,0.0000208553,0.000398435,0.0000022356,2026-07-09
53,78,I,0,54,77,Xe,99,0.00305933,0.000020835,0.00040574,0.00000227712,2026-07-09
53,78,I,0,54,77,Xe,100,0.00305384,0.0000208144,0.000413093,0.00000231895,2026-07-09
53,78,I,0,54,77,Xe,102,0.00304276,0.0000207725,0.000427944,0.00000240345,2026-07-09
53,78,I,0,54,77,Xe,104,0.00303158,0.0000207299,0.000442984,0.0000024891,2026-07-09
53,78,I,0,54,77,Xe,106,0.00302028,0.0000206864,0.000458209,0.00000257588,2026-07-09
53,78,I,0,54,77,Xe,108,0.00300887,0.000020642,0.000473616,0.00000266376,2026-07-09
53,78,I,0,54,77,Xe,110,0.00299734,0.0000205967,0.0004892,0.00000275273,2026-07-09
53,78,I,0,54,77,Xe,112,0.00298571,0.0000205506,0.000504959,0.00000284278,2026-07-09
53,78,I,0,54,77,Xe,114,0.00297396,0.0000205036,0.000520888,0.00000293386,2026-07-09
53,78,I,0,54,77,Xe,116,0.00296211,0.0000204558,0.000536984,0.00000302598,2026-07-09
53,78,I,0,54,77,Xe,118,0.00295015,0.0000204071,0.000553243,0.00000311912,2026-07-09
53,78,I,0,54,77,Xe,120,0.00293809,0.0000203575,0.000569662,0.00000321325,2026-07-09
53,78,I,0,54,77,Xe,122,0.00292591,0.0000203071,0.000586235,0.00000330835,2026-07-09
53,78,I,0,54,77,Xe,124,0.00291364,0.0000202558,0.000602963,0.00000340441,2026-07-09
53,78,I,0,54,77,Xe,126,0.00290126,0.0000202037,0.000619838,0.00000350141,2026-07-09
53,78,I,0,54,77,Xe,128,0.00288878,0.0000201507,0.00063686,0.00000359933,2026-07-09
53,78,I,0,54,77,Xe,130,0.0028762,0.0000200968,0.000654021,0.00000369815,2026-07-09
53,78,I,0,54,77,Xe,132,0.00286352,0.0000200421,0.000671323,0.00000379785,2026-07-09
53,78,I,0,54,77,Xe,134,0.00285074,0.0000199865,0.000688758,0.00000389842,2026-07-09
53,78,I,0,54,77,Xe,136,0.00283787,0.0000199302,0.000706327,0.00000399984,2026-07-09
53,78,I,0,54,77,Xe,138,0.00282491,0.0000198729,0.000724022,0.00000410209,2026-07-09
53,78,I,0,54,77,Xe,140,0.00281184,0.0000198148,0.000741842,0.00000420514,2026-07-09
53,78,I,0,54,77,Xe,142,0.00279868,0.0000197558,0.000759782,0.00000430899,2026-07-09
53,78,I,0,54,77,Xe,144,0.00278545,0.0000196961,0.00077784,0.00000441362,2026-07-09
53,78,I,0,54,77,Xe,146,0.00277211,0.0000196354,0.000796014,0.00000451901,2026-07-09
53,78,I,0,54,77,Xe,148,0.00275869,0.000019574,0.000814299,0.00000462513,2026-07-09
53,78,I,0,54,77,Xe,150,0.00274519,0.0000195117,0.000832691,0.00000473198,2026-07-09
53,78,I,0,54,77,Xe,152,0.0027316,0.0000194486,0.000851188,0.00000483954,2026-07-09
53,78,I,0,54,77,Xe,154,0.00271793,0.0000193847,0.000869785,0.00000494778,2026-07-09
53,78,I,0,54,77,Xe,156,0.00270418,0.0000193199,0.000888481,0.00000505669,2026-07-09
53,78,I,0,54,77,Xe,158,0.00269035,0.0000192544,0.000907273,0.00000516626,2026-07-09
53,78,I,0,54,77,Xe,160,0.00267645,0.0000191879,0.000926156,0.00000527647,2026-07-09
53,78,I,0,54,77,Xe,162,0.00266247,0.0000191208,0.000945127,0.0000053873,2026-07-09
53,78,I,0,54,77,Xe,164,0.00264841,0.0000190527,0.000964185,0.00000549873,2026-07-09
53,78,I,0,54,77,Xe,166,0.00263429,0.0000189839,0.000983323,0.00000561074,2026-07-09
53,78,I,0,54,77,Xe,168,0.0026201,0.0000189144,0.00100254,0.00000572333,2026-07-09
53,78,I,0,54,77,Xe,170,0.00260584,0.000018844,0.00102184,0.00000583646,2026-07-09
53,78,I,0,54,77,Xe,172,0.00259151,0.0000187728,0.00104121,0.00000595014,2026-07-09
53,78,I,0,54,77,Xe,174,0.00257712,0.0000187009,0.00106064,0.00000606433,2026-07-09
53,78,I,0,54,77,Xe,176,0.00256268,0.0000186281,0.00108015,0.00000617902,2026-07-09
53,78,I,0,54,77,Xe,178,0.00254817,0.0000185546,0.00109972,0.00000629421,2026-07-09
53,78,I,0,54,77,Xe,180,0.00253361,0.0000184804,0.00111935,0.00000640986,2026-07-09
53,78,I,0,54,77,Xe,182,0.00251899,0.0000184054,0.00113904,0.00000652596,2026-07-09
53,78,I,0,54,77,Xe,184,0.00250432,0.0000183297,0.00115879,0.00000664252,2026-07-09
53,78,I,0,54,77,Xe,186,0.0024896,0.0000182531,0.00117858,0.00000675948,2026-07-09
53,78,I,0,54,77,Xe,188,0.00247483,0.0000181759,0.00119843,0.00000687685,2026-07-09
53,78,I,0,54,77,Xe,190,0.00246002,0.0000180979,0.00121832,0.00000699461,2026-07-09
53,78,I,0,54,77,Xe,192,0.00244516,0.0000180192,0.00123826,0.00000711275,2026-07-09
53,78,I,0,54,77,Xe,194,0.00243026,0.0000179397,0.00125824,0.00000723124,2026-07-09
53,78,I,0,54,77,Xe,196,0.00241532,0.0000178595,0.00127826,0.00000735008,2026-07-09
53,78,I,0,54,77,Xe,198,0.00240035,0.0000177787,0.00129832,0.00000746924,2026-07-09
53,78,I,0,54,77,Xe,200,0.00238534,0.0000176971,0.0013184,0.00000758872,2026-07-09
53,78,I,0,54,77,Xe,202,0.0023703,0.0000176148,0.00133852,0.00000770848,2026-07-09
53,78,I,0,54,77,Xe,204,0.00235523,0.0000175319,0.00135867,0.00000782854,2026-07-09
53,78,I,0,54,77,Xe,206,0.00234013,0.0000174482,0.00137884,0.00000794886,2026-07-09
53,78,I,0,54,77,Xe,208,0.00232501,0.0000173639,0.00139903,0.00000806942,2026-07-09
53,78,I,0,54,77,Xe,210,0.00230987,0.0000172789,0.00141924,0.00000819022,2026-07-09
53,78,I,0,54,77,Xe,212,0.0022947,0.0000171933,0.00143947,0.00000831124,2026-07-09
53,78,I,0,54,77,Xe,214,0.00227952,0.000017107,0.00145971,0.00000843247,2026-07-09
53,78,I,0,54,77,Xe,216,0.00226433,0.0000170201,0.00147997,0.00000855388,2026-07-09
53,78,I,0,54,77,Xe,218,0.00224913,0.0000169325,0.00150023,0.00000867548,2026-07-09
53,78,I,0,54,77,Xe,220,0.00223391,0.0000168442,0.00152049,0.00000879719,2026-07-09
53,78,I,0,54,77,Xe,222,0.00221869,0.0000167554,0.00154077,0.00000891915,2026-07-09
53,78,I,0,54,77,Xe,224,0.00220346,0.0000166659,0.00156103,0.00000904118,2026-07-09
53,78,I,0,54,77,Xe,226,0.00218823,0.0000165758,0.00158129,0.00000916327,2026-07-09
53,78,I,0,54,77,Xe,228,0.002173,0.0000164852,0.00160155,0.00000928557,2026-07-09
53,78,I,0,54,77,Xe,230,0.00215778,0.0000163939,0.00162178,0.00000940786,2026-07-09
53,78,I,0,54,77,Xe,232,0.00214256,0.0000163021,0.00164201,0.00000953027,2026-07-09
53,78,I,0,54,77,Xe,234,0.00212736,0.0000162097,0.00166222,0.00000965274,2026-07-09
53,78,I,0,54,77,Xe,236,0.00211217,0.0000161167,0.0016824,0.00000977526,2026-07-09
53,78,I,0,54,77,Xe,238,0.00209698,0.0000160231,0.00170255,0.00000989783,2026-07-09
53,78,I,0,54,77,Xe,240,0.00208182,0.000015929,0.00172264,0.0000100204,2026-07-09
53,78,I,0,54,77,Xe,242,0.00206667,0.0000158344,0.00174267,0.000010143,2026-07-09
53,78,I,0,54,77,Xe,244,0.00205156,0.0000157392,0.00176253,0.0000102655,2026-07-09
53,78,I,0,54,77,Xe,246,0.00203647,0.0000156435,0.00178271,0.0000103882,2026-07-09
53,78,I,0,54,77,Xe,248,0.0020214,0.0000155473,0.0016001,0.0000105103,2026-07-09
53,78,I,0,54,77,Xe,250,0.00200635,0.0000154507,0.00161824,0.0000106327,2026-07-09
53,78,I,0,54,77,Xe,252,0.00199126,0.0000153534,0.00163636,0.0000107551,2026-07-09
53,78,I,0,54,77,Xe,254,0.00197616,0.0000152557,0.00165446,0.0000108774,2026-07-09
53,78,I,0,54,77,Xe,256,0.00196104,0.0000151576,0.00167252,0.0000109996,2026-07-09
53,78,I,0,54,77,Xe,258,0.00194591,0.000015059,0.00169057,0.0000111217,2026-07-09
53,78,I,0,54,77,Xe,260,0.00193077,0.0000149599,0.00170859,0.0000112437,2026-07-09
53,78,I,0,54,77,Xe,262,0.00191561,0.0000148603,0.00172659,0.0000113656,2026-07-09
53,78,I,0,54,77,Xe,264,0.00190045,0.0000147603,0.00174454,0.0000114873,2026-07-09
53,78,I,0,54,77,Xe,266,0.00188528,0.0000146599,0.00176248,0.0000116089,2026-07-09
53,78,I,0,54,77,Xe,268,0.00187011,0.0000145591,0.00178036,0.0000117302,2026-07-09
53,78,I,0,54,77,Xe,270,0.00185494,0.0000144579,0.00179822,0.0000118514,2026-07-09
53,78,I,0,54,77,Xe,272,0.00183977,0.0000143562,0.00181604,0.0000119725,2026-07-09
53,78,I,0,54,77,Xe,274,0.00182461,0.0000142542,0.00183382,0.0000120933,2026-07-09
53,78,I,0,54,77,Xe,276,0.00180945,0.0000141518,0.00185155,0.0000122138,2026-07-09
53,78,I,0,54,77,Xe,278,0.00179429,0.0000140491,0.00186924,0.0000123342,2026-07-09
53,78,I,0,54,77,Xe,280,0.00177915,0.0000139459,0.0018869,0.0000124543,2026-07-09
53,78,I,0,54,77,Xe,282,0.00176402,0.0000138424,0.00190449,0.0000125741,2026-07-09
53,78,I,0,54,77,Xe,284,0.00174891,0.0000137386,0.00192205,0.0000126938,2026-07-09
53,78,I,0,54,77,Xe,286,0.00173381,0.0000136345,0.00193955,0.0000128131,2026-07-09
