energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
3.954,,5.622951124122842,0.2952237362576518,AU,L,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
24.325,,0.42216950391173724,0.03229478355611359,AU,KLL,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
28.864,,0.19630881931895783,0.015164702416868002,AU,KLX,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
29.1,,0.64131769339232,0.04901137325409182,AU,K,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
33.404,,0.022839370161624985,0.0018078108807034604,AU,KXY,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
45.62,,3.13938,0.34288335028147693,CE,K,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
51.335,,0.000134475,0.0000859661779422582,CE,K,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
74.7318,,0.4447455,0.05268638159192563,CE,L,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
79.0363,,0.093396555,0.0018422402145892918,CE,M,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
79.9718,,0.0217402065,0.00043558713557708523,CE,N+,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
79.9718,,0.0193333485,0.000393602696686011,CE,N,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
80.16161,,0.002406858,0.00004768890352065667,CE,O,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
80.4468,,0.000044825,0.000043402969080467296,CE,L,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
84.7513,,0.000010758,0.000009976896924896038,CE,M,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
85.6868,,0.00000224125,0.0000020966870379243536,CE,N+,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
85.6868,,0.00000206195,0.0000018941590521917635,CE,N,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
85.87661,,0.00000021516,0.00000019236006868630508,CE,O,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
129.365,,0.6670286,0.01714512825564452,CE,K,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
142.649,,0.048411,0.003293729497089887,CE,K,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
158.4768,,0.311350375,0.007708811404002242,CE,L,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
162.7813,,0.07134673,0.0017895823527362467,CE,M,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
163.7168,,0.0161902195,0.00040183160689615996,CE,N+,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
163.7168,,0.0145859735,0.00036311576290695507,CE,N,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
163.90661,,0.00159369175,0.00003976549975855327,CE,O,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
171.7608,,0.011269005,0.0002426546502459823,CE,L,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
176.0653,,0.00236676,0.000049513434065917905,CE,M,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
177.0008,,0.000527142,0.000010788254558083064,CE,N+,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
177.0008,,0.0004760415,0.00001034046519939988,CE,N,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
177.19061,,0.0000516384,0.0000010691795961857858,CE,O,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
197.615,,0.00024824085,0.000032053427322011915,CE,K,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
