p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
43,56,Tc,0,44,55,Ru,0,0.00671459,0.000018789,0,0,2026-07-09
43,56,Tc,0,44,55,Ru,0.6,0.00669934,0.0000187335,0.000000159286,0.00000000208642,2026-07-09
43,56,Tc,0,44,55,Ru,1.2,0.00668413,0.0000186784,0.000000631543,0.00000000825922,2026-07-09
43,56,Tc,0,44,55,Ru,1.8,0.00666897,0.0000186237,0.00000141677,0.0000000185184,2026-07-09
43,56,Tc,0,44,55,Ru,2.4,0.00665385,0.0000185694,0.00000250801,0.0000000327567,2026-07-09
43,56,Tc,0,44,55,Ru,3,0.00663877,0.0000185155,0.00000390389,0.0000000509532,2026-07-09
43,56,Tc,0,44,55,Ru,3.6,0.00662372,0.000018462,0.00000560031,0.0000000730444,2026-07-09
43,56,Tc,0,44,55,Ru,4.2,0.00660872,0.0000184089,0.00000759181,0.0000000989469,2026-07-09
43,56,Tc,0,44,55,Ru,4.8,0.00659376,0.0000183561,0.00000987706,0.00000012864,2026-07-09
43,56,Tc,0,44,55,Ru,5.4,0.00657885,0.0000183037,0.000012452,0.000000162061,2026-07-09
43,56,Tc,0,44,55,Ru,6,0.00656397,0.0000182517,0.0000153114,0.00000019913,2026-07-09
43,56,Tc,0,44,55,Ru,6.6,0.00654914,0.0000182,0.0000184538,0.000000239826,2026-07-09
43,56,Tc,0,44,55,Ru,7.2,0.00653435,0.0000181486,0.0000218754,0.000000284087,2026-07-09
43,56,Tc,0,44,55,Ru,7.8,0.00651961,0.0000180977,0.0000255709,0.000000331836,2026-07-09
43,56,Tc,0,44,55,Ru,8.4,0.0065049,0.0000180471,0.0000295391,0.000000383052,2026-07-09
43,56,Tc,0,44,55,Ru,9,0.00649024,0.0000179967,0.000033776,0.000000437675,2026-07-09
43,56,Tc,0,44,55,Ru,9.6,0.00647563,0.0000179468,0.0000382765,0.000000495629,2026-07-09
43,56,Tc,0,44,55,Ru,10,0.00646593,0.0000179137,0.0000414233,0.000000536116,2026-07-09
43,56,Tc,0,44,55,Ru,10.9,0.00644415,0.0000178397,0.0000489224,0.000000632473,2026-07-09
43,56,Tc,0,44,55,Ru,11.8,0.00642249,0.0000177664,0.0000569939,0.000000736004,2026-07-09
43,56,Tc,0,44,55,Ru,12.7,0.00640095,0.0000176939,0.0000656264,0.000000846539,2026-07-09
43,56,Tc,0,44,55,Ru,13.6,0.00637952,0.000017622,0.000074809,0.000000963911,2026-07-09
43,56,Tc,0,44,55,Ru,14.5,0.00635823,0.0000175509,0.0000845308,0.00000108796,2026-07-09
43,56,Tc,0,44,55,Ru,15.4,0.00633705,0.0000174803,0.0000947811,0.00000121851,2026-07-09
43,56,Tc,0,44,55,Ru,16.3,0.00631599,0.0000174105,0.000105549,0.00000135541,2026-07-09
43,56,Tc,0,44,55,Ru,17.2,0.00629507,0.0000173413,0.000116825,0.0000014985,2026-07-09
43,56,Tc,0,44,55,Ru,18.1,0.00627427,0.0000172725,0.000128597,0.00000164762,2026-07-09
43,56,Tc,0,44,55,Ru,19,0.0062536,0.0000172045,0.000140856,0.00000180263,2026-07-09
43,56,Tc,0,44,55,Ru,19.9,0.00623306,0.0000171371,0.000153591,0.00000196335,2026-07-09
43,56,Tc,0,44,55,Ru,20.8,0.00621265,0.00001707,0.000166793,0.00000212966,2026-07-09
43,56,Tc,0,44,55,Ru,21.7,0.00619235,0.0000170036,0.00018045,0.00000230138,2026-07-09
43,56,Tc,0,44,55,Ru,22.6,0.00617219,0.0000169376,0.000194555,0.00000247839,2026-07-09
43,56,Tc,0,44,55,Ru,23.5,0.00615215,0.0000168721,0.000209096,0.00000266053,2026-07-09
43,56,Tc,0,44,55,Ru,24.4,0.00613224,0.000016807,0.000224064,0.00000284767,2026-07-09
43,56,Tc,0,44,55,Ru,25.3,0.00611244,0.0000167423,0.000239451,0.00000303965,2026-07-09
43,56,Tc,0,44,55,Ru,26.2,0.00609276,0.000016678,0.000255246,0.00000323634,2026-07-09
43,56,Tc,0,44,55,Ru,27.1,0.00607321,0.0000166141,0.00027144,0.0000034376,2026-07-09
43,56,Tc,0,44,55,Ru,28,0.00605376,0.0000165504,0.000288023,0.0000036433,2026-07-09
43,56,Tc,0,44,55,Ru,28.9,0.00603443,0.0000164869,0.000304988,0.0000038533,2026-07-09
43,56,Tc,0,44,55,Ru,29.8,0.00601522,0.0000164239,0.000322324,0.00000406748,2026-07-09
43,56,Tc,0,44,55,Ru,30.7,0.0059961,0.000016361,0.000340024,0.00000428569,2026-07-09
43,56,Tc,0,44,55,Ru,31.6,0.0059771,0.0000162983,0.000358077,0.00000450783,2026-07-09
43,56,Tc,0,44,55,Ru,32.5,0.00595819,0.0000162357,0.000376477,0.00000473374,2026-07-09
43,56,Tc,0,44,55,Ru,33.4,0.00593939,0.0000161733,0.000395214,0.00000496332,2026-07-09
43,56,Tc,0,44,55,Ru,34.3,0.00592069,0.000016111,0.000414279,0.00000519644,2026-07-09
43,56,Tc,0,44,55,Ru,35.2,0.00590209,0.0000160489,0.000433666,0.00000543297,2026-07-09
43,56,Tc,0,44,55,Ru,36.1,0.00588358,0.0000159868,0.000453364,0.00000567281,2026-07-09
43,56,Tc,0,44,55,Ru,37,0.00586516,0.0000159246,0.000473366,0.00000591582,2026-07-09
43,56,Tc,0,44,55,Ru,37.9,0.00584683,0.0000158625,0.000493665,0.0000061619,2026-07-09
43,56,Tc,0,44,55,Ru,38.8,0.00582858,0.0000158003,0.000514252,0.00000641093,2026-07-09
43,56,Tc,0,44,55,Ru,39.7,0.00581042,0.000015738,0.00053512,0.0000066628,2026-07-09
43,56,Tc,0,44,55,Ru,40.6,0.00579234,0.0000156757,0.00055626,0.0000069174,2026-07-09
43,56,Tc,0,44,55,Ru,41.5,0.00577432,0.0000156132,0.000577664,0.00000717462,2026-07-09
43,56,Tc,0,44,55,Ru,42.4,0.0057564,0.0000155506,0.000599328,0.00000743435,2026-07-09
43,56,Tc,0,44,55,Ru,43.3,0.00573854,0.0000154878,0.00062124,0.00000769648,2026-07-09
43,56,Tc,0,44,55,Ru,44.2,0.00572076,0.0000154248,0.000643397,0.00000796091,2026-07-09
43,56,Tc,0,44,55,Ru,45.1,0.00570304,0.0000153615,0.000665789,0.00000822755,2026-07-09
43,56,Tc,0,44,55,Ru,46,0.00568539,0.000015298,0.00068841,0.00000849628,2026-07-09
43,56,Tc,0,44,55,Ru,46.9,0.0056678,0.0000152342,0.000711252,0.00000876702,2026-07-09
