energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
2.306,,10.39320351936,0.4502877918384605,AU,L,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
2.437,,0.0014259542414547,0.00022187132044139472,AU,L,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
2.437,,0.000892978645,0.00017285426459336825,AU,L,43,56,Tc,,0,,9/2+,2.111E+5,,12,Y,6661667073236.371,37868311169.5104,B-,100,,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
15.319,,1.425665941677634,0.07390759590210887,AU,KLL,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
16.049,,0.0001073010752688172,0.000024919957435297205,AU,KLL,43,56,Tc,,0,,9/2+,2.111E+5,,12,Y,6661667073236.371,37868311169.5104,B-,100,,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
16.049,,0.0001714206052109181,0.00003204362403729332,AU,KLL,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
17.905,,0.5745433744960865,0.030325770735668355,AU,KLX,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
17.975,,2.05823392,0.10654322240092422,AU,K,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
18.786,,0.00007011102753126551,0.000013123767026762849,AU,KLX,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
18.786,,0.00004388613978494623,0.000010201295655783373,AU,KLX,43,56,Tc,,0,,9/2+,2.111E+5,,12,Y,6661667073236.371,37868311169.5104,B-,100,,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
18.864,,0.0001556724,0.00003615124845866322,AU,K,43,56,Tc,,0,,9/2+,2.111E+5,,12,Y,6661667073236.371,37868311169.5104,B-,100,,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
18.864,,0.00024869701404,0.00004648367790365776,AU,K,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
20.472,,0.058024603826279705,0.003169264268270572,AU,KXY,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
21.502,,0.0000071653812978163766,0.000001344787690763899,AU,KXY,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
21.502,,0.000004485184946236559,0.000001044358722312551,AU,KXY,43,56,Tc,,0,,9/2+,2.111E+5,,12,Y,6661667073236.371,37868311169.5104,B-,100,,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
1.6216000000000002,,87.516,2.7177085936501726,CE,M,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
2.0986,,11.5335,0.41180953121558517,CE,N,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
2.16433,,0.00025146,0.000009086633039800825,CE,O,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
67.377,,0.0007631,0.0001765791890342687,CE,K,43,56,Tc,,0,,9/2+,2.111E+5,,12,Y,6661667073236.371,37868311169.5104,B-,100,,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
67.477,,0.0012173,0.00022660347856994604,CE,K,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
86.27,,0.00017225,0.00003988264033385954,CE,L,43,56,Tc,,0,,9/2+,2.111E+5,,12,Y,6661667073236.371,37868311169.5104,B-,100,,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
86.37,,0.000274281,0.000051315770601346323,CE,L,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
88.908,,0.000032305,0.00000747791749085265,CE,M,43,56,Tc,,0,,9/2+,2.111E+5,,12,Y,6661667073236.371,37868311169.5104,B-,100,,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
89.008,,0.000051541,0.000009659104234348028,CE,M,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
89.419,,0.0000048425,0.000001121199023367395,CE,N,43,56,Tc,,0,,9/2+,2.111E+5,,12,Y,6661667073236.371,37868311169.5104,B-,100,,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
89.49188,,0.00000011245,0.000000026023162759357288,CE,O,43,56,Tc,,0,,9/2+,2.111E+5,,12,Y,6661667073236.371,37868311169.5104,B-,100,,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
89.519,,0.0000077182,0.0000014448003026024047,CE,N,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
89.59188,,0.000000179228,0.00000003351115879882401,CE,O,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
119.461,,8.7932,0.45352981158905087,CE,K,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
121.58,,0.64824,0.05618616199741712,CE,K,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
137.463,,1.068,0.06545418244848834,CE,L,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
139.582,,0.201576,0.017491726615746085,CE,L,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
139.96,,0.19402,0.011257566344463621,CE,M,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
140.437,,0.030705,0.0017449997134670252,CE,N,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
140.50273,,0.0019758,0.00009932617983190534,CE,O,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
142.079,,0.0394716,0.0034234865619715816,CE,M,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
142.556,,0.0059718,0.0005187568312803215,CE,N,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
142.62173,,0.000237762,0.00002061966781982678,CE,O,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
210.677,,0.00000034891,0.000000133702662651123,CE,K,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
229.57,,0.000000046805,0.00000002119815862286156,CE,L,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
232.208,,0.0000000086802,0.000000003879922396131139,CE,M,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
232.719,,0.0000000013616,0.0000000005938913786207037,CE,N,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
232.79188,,0.00000000005957,0.000000000019925109786397665,CE,O,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
300.277,,0.0000014541,0.00000039546821313476004,CE,K,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
319.17,,0.000000184186,0.000000050409515335499904,CE,L,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
321.808,,0.000000033929,0.000000009290967321522554,CE,M,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
322.319,,0.00000000542864,0.0000000014827519065575333,CE,N,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
322.39188,,0.000000000252044,0.000000000050306340793184316,CE,O,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09

