energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
2.586,,0.44999264064,0.022303578735653494,X,L,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
2.737,,0.000042371355,0.000008265980084661325,X,L,43,56,Tc,,0,,9/2+,2.111E+5,,12,Y,6661667073236.371,37868311169.5104,B-,100,,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
2.737,,0.0000676607595453,0.000010654821632199819,X,L,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
18.25,,2.117512717062367,0.10365712284513368,X,KA2,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
18.367,,4.026455061917412,0.19617266407891779,X,KA1,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
19.15,,0.000278047020176695,0.00005172189269883801,X,KA2,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
19.15,,0.00017404409582815806,0.00004029302516898916,X,KA2,43,56,Tc,,0,,9/2+,2.111E+5,,12,Y,6661667073236.371,37868311169.5104,B-,100,,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
19.279,,0.00033025445128682745,0.00007644130039935153,X,KA1,43,56,Tc,,0,,9/2+,2.111E+5,,12,Y,6661667073236.371,37868311169.5104,B-,100,,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
19.279,,0.0005276034538457211,0.00009811208979798067,X,KA1,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
20.695,,1.0701539732471688,0.053085742393340775,X,KpB1,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
20.82,,1.2392383010202213,0.0612399755660652,X,KB,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
21.003,,0.16908432777305268,0.009948954107848962,X,KpB2,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,IT,99.9963,0.0006,,,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
21.736,,0.00008875133638985761,0.000020558825117108948,X,KpB1,43,56,Tc,,0,,9/2+,2.111E+5,,12,Y,6661667073236.371,37868311169.5104,B-,100,,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
21.736,,0.0001417861634574734,0.00002639863516236966,X,KpB1,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
21.875,,0.00010312905288501453,0.000023885232929625308,X,KB,43,56,Tc,,0,,9/2+,2.111E+5,,12,Y,6661667073236.371,37868311169.5104,B-,100,,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
21.875,,0.00016475552193758407,0.00003066702096131516,X,KB,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
22.072,,0.000014377716495156933,0.0000033599624802481123,X,KpB2,43,56,Tc,,0,,9/2+,2.111E+5,,12,Y,6661667073236.371,37868311169.5104,B-,100,,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
22.072,,0.00002296935848011069,0.0000043349405947500005,X,KpB2,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09

