Energy (keV),Fluence (normalized)
0.0,0.0
0.5,0.0
1.0,0.0
1.5,1.1843212083211983e-15
2.0,7.95721962486081e-93
2.5,8.389736780346077e-53
3.0,8.846676733671586e-32
3.5,1.0299559294196758e-19
4.0,2.8490147672639905e-12
4.5,1.924017560578929e-07
5.0,0.0003771035336991065
5.5,0.08272285846757778
6.0,4.377221996850323
6.5,87.14508574837743
7.0,1202.348093861001
7.5,7017.507248373558
8.0,143795.01854487017
8.5,586270.2719646527
9.0,159551.53473816742
9.5,2492129.9412551727
10.0,2607804.661279571
10.5,516424.4502605763
11.0,1026735.685025807
11.5,2077520.1855666314
12.0,1121994.3270545092
12.5,1226722.9057886405
13.0,1530809.2689522319
13.5,1886310.597082688
14.0,2260600.0793641596
14.5,2646289.667557833
15.0,3035501.963782575
15.5,3420954.4543853775
16.0,3796963.580127282
16.5,4158387.4205681444
17.0,4501267.877714208
17.5,4822607.005739324
18.0,5119149.660813063
18.5,5390881.365924499
19.0,5637177.566884221
19.5,5857851.9656624105
20.0,6052982.498893112
20.5,6221926.123370032
21.0,6367174.814112733
21.5,6490030.919562563
22.0,6591351.113008951
22.5,6670774.7499878
23.0,6731669.825269709
23.5,6775592.810107862
24.0,6803736.166579963
24.5,6817389.537478077
25.0,6817713.457974472
25.5,6804684.092732787
26.0,6780635.620150864
26.5,6746870.896350959
27.0,6704248.584882734
27.5,6652863.746916452
28.0,6592907.157428811
28.5,6526726.910633437
29.0,6455064.968077444
29.5,6378692.180385909
30.0,6297920.786770413
30.5,6212129.180609572
31.0,6123167.481285507
31.5,6031683.533649588
32.0,5938175.632643844
32.5,5842956.5090364525
33.0,5746299.378253876
33.5,5648498.284010548
34.0,5549911.9292471
34.5,5450686.059608582
35.0,5350888.144840233
35.5,5249771.291852193
36.0,5148536.000410925
36.5,5047590.514129619
37.0,4947110.496268683
37.5,4847135.261489625
38.0,4747724.005650645
38.5,4649073.4267259035
39.0,4551211.278437495
39.5,4454155.5281234905
40.0,4357833.067747055
40.5,4261783.300553007
41.0,4166708.523560484
41.5,4072722.423791198
42.0,3979783.5028163427
42.5,3887972.838515293
43.0,3797268.313959258
43.5,3707583.2327781627
44.0,3619057.258857495
44.5,3531623.492427693
45.0,3445136.0737621076
45.5,3359456.379248137
46.0,3274878.120061975
46.5,3191251.741117702
47.0,3108656.8032203345
47.5,3027227.8609941723
48.0,2946779.9861717997
48.5,2867252.265962262
49.0,2788733.557864091
49.5,2711185.895210833
50.0,2634519.5660288343
50.5,2558551.132940413
51.0,2483372.096007518
51.5,2409102.600663542
52.0,2335680.4618141605
52.5,2263024.6673183325
53.0,2191196.900859118
53.5,2120077.263400855
54.0,2049612.4946014031
54.5,1979855.630749276
55.0,1910722.0748339675
55.5,1841943.6053079027
56.0,1773747.185842868
56.5,1706170.7182384476
57.0,1638980.992069066
57.5,1621405.5170162707
58.0,1696658.5262918617
58.5,1439759.5891091516
59.0,1460907.3193823893
59.5,1644900.4429194739
60.0,1246719.621188413
60.5,1186186.297628293
61.0,1125856.204069551
61.5,1065643.0441792847
62.0,1005504.5912758146
62.5,945372.9588368156
63.0,885285.5659705726
63.5,825282.7903050471
64.0,765134.9682411364
64.5,703110.883337857
65.0,648877.6981755145
65.5,606696.9274658863
66.0,564374.6903028218
66.5,532216.1336810399
67.0,595888.2088280251
67.5,458732.05131869594
68.0,394701.321590839
68.5,351417.93738021486
69.0,322321.8438609131
69.5,283647.8309726798
70.0,206692.9750329824
70.5,189834.12648571507
71.0,174053.28309295408
71.5,158202.45833323474
72.0,142153.35419647372
72.5,125996.83975438641
73.0,109720.6112446657
73.5,93230.58046837829
74.0,76712.07308001611
74.5,59863.93098711996
75.0,41149.68932055831
75.5,28920.28629659459
76.0,26214.478188815156
76.5,23484.531264302295
77.0,20740.75121484729
77.5,17970.77401812238
78.0,15177.740884075873
78.5,12363.5663107536
79.0,9531.722714191594
79.5,6677.303559402394
80.0,3584.2813659324074
80.5,0.0
81.0,0.0
81.5,0.0
82.0,0.0
82.5,0.0
83.0,0.0
83.5,0.0
84.0,0.0
84.5,0.0
85.0,0.0
85.5,0.0
86.0,0.0
86.5,0.0
87.0,0.0
87.5,0.0
88.0,0.0
88.5,0.0
89.0,0.0
89.5,0.0
90.0,0.0
90.5,0.0
91.0,0.0
91.5,0.0
92.0,0.0
92.5,0.0
93.0,0.0
93.5,0.0
94.0,0.0
94.5,0.0
95.0,0.0
95.5,0.0
96.0,0.0
96.5,0.0
97.0,0.0
97.5,0.0
98.0,0.0
98.5,0.0
99.0,0.0
99.5,0.0
100.0,0.0
100.5,0.0
